,Key,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MIDA-lottery gain,MIDA-Vickrey traders gain,MIDA-Vickrey total gain
0,IBM,53.0,47.0,100.0,47.0,138800.0,20000.0,30195.03270407237,9.0,18.0,25700.0,182212.5,107937.5,137087.5,164937.5
1,IBM,123.0,77.0,200.0,77.0,404608.0,30000.0,67736.24015252102,18.0,41.0,91687.0,716498.625,394548.125,355331.125,503693.125
2,IBM,171.0,129.0,300.0,129.0,481253.0,20000.0,53536.678894006865,31.0,50.0,104301.0,790862.875,758835.5,723702.875,781751.25
3,IBM,218.0,182.0,400.0,182.0,865400.0,50000.0,111513.48861909038,23.0,85.0,199521.0,1659780.0,1008607.5,860451.25,1384969.5
4,IBM,294.0,206.0,500.0,206.0,950401.0,40000.0,99900.97987006934,33.0,93.0,204380.0,1756964.375,1654428.5,1725384.5,1755452.75
5,IBM,372.0,228.0,600.0,228.0,1115330.0,50000.0,108140.91178642798,44.0,139.0,250848.0,2821244.75,2383093.5,1984648.875,2710381.0
6,IBM,410.0,290.0,700.0,290.0,1410336.0,50000.0,127343.38728021961,58.0,143.0,318717.0,3443011.625,1938615.5,1768322.5,3040072.875
7,IBM,467.0,333.0,800.0,333.0,1694744.0,50000.0,150982.7913240446,52.0,183.0,436160.0,5037046.125,2680899.5,2337616.5,4152719.5
8,IBM,527.0,373.0,900.0,373.0,1637025.0,50000.0,124083.78049930619,68.0,172.0,343417.0,2684305.375,2587508.375,2491048.5,2656945.75
