,Key,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MIDA-lottery gain,MIDA-Vickrey traders gain,MIDA-Vickrey total gain
41,IBM,290.0,220.0,510.0,220.0,997969.0,50000.0,108084.16411759866,50.0,95.0,207564.0,1817595.25,1656178.25,1677773.625,1801390.875
42,IBM,311.0,209.0,520.0,209.0,947603.0,50000.0,100888.39882265948,34.0,92.0,155499.0,1200622.125,954573.625,1065306.375,1165425.125
43,IBM,304.0,226.0,530.0,226.0,876521.0,50000.0,92620.78497292064,31.0,90.0,183405.0,1894504.125,1773936.5,1796998.5,1884948.0
44,IBM,309.0,231.0,540.0,231.0,983057.0,50000.0,92883.33531371491,53.0,83.0,181511.0,1198039.375,1041609.375,1100405.625,1178563.5
45,IBM,305.0,245.0,550.0,245.0,995607.0,20000.0,78735.723156646,45.0,89.0,205593.0,1372158.625,1222007.5,1293815.5,1359339.25
46,IBM,332.0,228.0,560.0,228.0,1041687.0,50000.0,104862.3233244429,55.0,104.0,244645.0,2205646.875,1887019.375,1854209.0,2127696.125
47,IBM,331.0,239.0,570.0,239.0,1035928.0,44800.0,100571.62546165792,37.0,118.0,250268.0,2625786.5,1530667.0,811556.25,2062091.5
48,IBM,315.0,265.0,580.0,265.0,1039916.0,50000.0,112112.29717564439,39.0,106.0,182079.0,1072581.75,674985.75,764162.25,990518.625
49,IBM,356.0,234.0,590.0,234.0,1061568.0,50000.0,108683.33846547041,53.0,108.0,233103.0,1965056.75,1425445.75,1612250.5,1882487.25
50,IBM,335.0,265.0,600.0,265.0,1010934.0,40000.0,91096.61095781774,62.0,97.0,183496.0,1358408.0,1252623.375,1265927.375,1343887.0
51,IBM,343.0,267.0,610.0,267.0,1141278.0,50000.0,116884.50983770262,40.0,134.0,255013.0,2219754.5,2120777.25,2124955.625,2211410.5
52,IBM,355.0,265.0,620.0,265.0,1107652.0,28200.0,92510.56467236593,63.0,106.0,238980.0,1631627.5,1621229.25,1607777.0,1630653.75
53,IBM,364.0,266.0,630.0,266.0,1341822.0,50000.0,122167.40837883073,49.0,132.0,324192.0,2965933.5,2251951.625,2590878.625,2917983.0
54,IBM,358.0,282.0,640.0,282.0,1120344.0,50000.0,117396.5784424742,48.0,128.0,222100.0,1940962.5,1457682.75,1271794.375,1743956.75
55,IBM,366.0,284.0,650.0,284.0,1177238.0,40000.0,108685.47897488422,50.0,114.0,235033.0,1788757.0,1652548.875,1738334.5,1785834.375
56,IBM,385.0,275.0,660.0,275.0,1187987.0,50000.0,120306.4829217445,53.0,118.0,231464.0,1649193.625,1374908.25,1451773.375,1611704.0
57,IBM,404.0,266.0,670.0,266.0,1406495.0,50000.0,129881.19088228287,49.0,135.0,305907.0,3452321.5,2807568.875,2740138.125,3371623.125
58,IBM,394.0,286.0,680.0,286.0,1319365.0,50000.0,116497.65358581262,60.0,116.0,288484.0,1960363.875,1585390.0,1675073.0,1890981.0
59,IBM,412.0,278.0,690.0,278.0,1397401.0,50000.0,134932.88661775528,34.0,154.0,286385.0,3502093.0,3091841.875,2364850.625,3374834.375
60,IBM,391.0,309.0,700.0,309.0,1375616.0,50000.0,144538.21046353105,47.0,146.0,304048.0,2617253.0,1582104.5,1451981.75,2294072.0
61,IBM,423.0,287.0,710.0,287.0,1310261.0,50000.0,121919.71242994301,39.0,137.0,282600.0,2962601.125,1859368.5,1537053.375,2538518.75
62,IBM,412.0,308.0,720.0,308.0,1288515.0,50000.0,125269.73908729914,55.0,154.0,328220.0,3523857.75,3194543.5,2638697.75,3424536.75
63,IBM,420.0,310.0,730.0,310.0,1358518.0,50000.0,121982.6429866151,55.0,125.0,289034.0,2802788.125,2335016.0,2156289.5,2681571.375
64,IBM,424.0,316.0,740.0,316.0,1425839.0,50000.0,126757.51608090149,63.0,153.0,327979.0,2735161.125,2169783.0,2464580.5,2698905.5
