,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MIDA-lottery gain,MIDA-Vickrey traders gain,MIDA-Vickrey total gain
0,40.0,1.0,100.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,18.0,18.0,18.0,4243.5351920419125,0.0,0.0,0.0
1,40.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,17.0,17.0,17.0,4460.724649073214,0.0,0.0,0.0
2,40.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,21.0,21.0,21.0,4988.39128906311,0.0,0.0,0.0
3,40.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,21.0,21.0,21.0,4475.089148900402,0.0,0.0,0.0
4,40.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,20.0,20.0,20.0,4845.99109403303,0.0,0.0,0.0
5,40.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,19.0,19.0,19.0,4813.616438229689,0.0,0.0,0.0
6,40.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,20.0,20.0,20.0,4899.210415284574,0.0,0.0,0.0
7,40.0,1.0,10.0,250.0,4.0,4.0,8.0,4.0,80.0,10.0,10.0,1.0,28.284271247461902,20.0,20.0,20.0,5186.848556684341,2057.6679883313864,525.5113697999302,2458.6551540739
8,40.0,1.0,100.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,21.0,21.0,21.0,4317.911490978917,0.0,0.0,0.0
9,40.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,20.0,20.0,20.0,4808.933352565451,0.0,0.0,0.0
10,40.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,18.0,18.0,18.0,4536.248435319503,0.0,0.0,0.0
11,40.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,23.0,23.0,23.0,5118.997797901953,0.0,0.0,0.0
12,40.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,24.0,24.0,24.0,5915.933959948939,0.0,0.0,0.0
13,40.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,24.0,24.0,24.0,6433.281494816354,0.0,0.0,0.0
14,40.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,20.0,20.0,20.0,5108.724467125397,0.0,0.0,0.0
15,40.0,1.0,10.0,250.0,4.0,4.0,8.0,4.0,80.0,10.0,10.0,1.0,28.284271247461902,18.0,18.0,18.0,4601.470244243764,2796.173251246431,1888.8233136710242,3517.25760420638
16,40.0,1.0,100.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,20.0,20.0,20.0,5176.901854905519,0.0,0.0,0.0
17,40.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,19.0,19.0,19.0,4988.72191021432,0.0,0.0,0.0
18,40.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,19.0,19.0,19.0,4438.561624147835,0.0,0.0,0.0
19,40.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,17.0,17.0,17.0,4488.460101189868,0.0,0.0,0.0
20,40.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,21.0,21.0,21.0,4633.094931494787,0.0,0.0,0.0
21,40.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,27.0,27.0,27.0,6957.151593178498,0.0,0.0,0.0
22,40.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,80.0,40.0,40.0,1.0,56.568542494923804,20.0,20.0,20.0,4401.07687810696,0.0,0.0,0.0
23,40.0,1.0,10.0,250.0,4.0,4.0,8.0,4.0,80.0,10.0,10.0,1.0,28.284271247461902,17.0,17.0,17.0,4265.509026927367,0.0,0.0,0.0
