,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MIDA-lottery gain,MIDA-Vickrey traders gain,MIDA-Vickrey total gain
0,90.0,1.0,100.0,250.0,1.0,1.0,2.0,1.0,180.0,90.0,90.0,1.0,127.27922061357856,47.0,47.0,47.0,12649.626507091496,0.0,0.0,0.0
1,90.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,180.0,90.0,90.0,1.0,127.27922061357856,50.0,50.0,50.0,13521.04023145415,0.0,0.0,0.0
2,90.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,180.0,90.0,90.0,1.0,127.27922061357856,45.0,45.0,45.0,10646.27820063975,0.0,0.0,0.0
3,90.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,180.0,90.0,90.0,1.0,127.27922061357856,44.0,44.0,44.0,10164.509582668907,0.0,0.0,0.0
4,90.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,180.0,90.0,90.0,1.0,127.27922061357856,46.0,46.0,46.0,12626.965837364238,0.0,0.0,0.0
5,90.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,180.0,90.0,90.0,1.0,127.27922061357856,44.0,44.0,44.0,11801.516670094277,0.0,0.0,0.0
6,90.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,180.0,90.0,90.0,1.0,127.27922061357856,48.0,48.0,48.0,12168.305853117407,0.0,0.0,0.0
7,90.0,1.0,10.0,250.0,9.0,9.0,18.0,9.0,180.0,10.0,10.0,1.0,42.42640687119285,42.0,42.0,42.0,10602.129680065274,9615.803655171321,8336.771371616205,10180.606534138198
8,90.0,1.0,100.0,250.0,1.0,1.0,2.0,1.0,180.0,90.0,90.0,1.0,127.27922061357856,47.0,47.0,47.0,11776.852653418471,0.0,0.0,0.0
9,90.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,180.0,90.0,90.0,1.0,127.27922061357856,48.0,48.0,48.0,11424.970760243032,0.0,0.0,0.0
10,90.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,180.0,90.0,90.0,1.0,127.27922061357856,42.0,42.0,42.0,10891.265175689847,0.0,0.0,0.0
11,90.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,180.0,90.0,90.0,1.0,127.27922061357856,50.0,50.0,50.0,14006.013195883348,0.0,0.0,0.0
12,90.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,180.0,90.0,90.0,1.0,127.27922061357856,43.0,43.0,43.0,11891.487390863447,0.0,0.0,0.0
13,90.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,180.0,90.0,90.0,1.0,127.27922061357856,41.0,41.0,41.0,10549.261857056055,0.0,0.0,0.0
14,90.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,180.0,90.0,90.0,1.0,127.27922061357856,40.0,40.0,40.0,8632.006710557376,0.0,0.0,0.0
