,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MIDA-lottery gain,MIDA-Vickrey traders gain,MIDA-Vickrey total gain
0,800.0,1.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,403.0,403.0,403.0,97040.79875773407,42439.335733422835,15520.602456823466,55720.21775524575
1,800.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,401.0,401.0,401.0,100058.22518892537,0.0,0.0,0.0
2,800.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,393.0,393.0,393.0,97306.50575877723,0.0,0.0,0.0
3,800.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,376.0,376.0,376.0,92959.63284798455,0.0,0.0,0.0
4,800.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,382.0,382.0,382.0,91822.76582060763,0.0,0.0,0.0
5,800.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,404.0,404.0,404.0,100706.89353882647,0.0,0.0,0.0
6,800.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,398.0,398.0,398.0,98183.26580806606,0.0,0.0,0.0
7,800.0,1.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,411.0,411.0,411.0,103533.84044948398,80790.99465832618,68003.62500609813,98393.66456874752
8,800.0,1.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,393.0,393.0,393.0,102586.27402183399,75225.5624292941,59863.16667853316,92653.12292503458
9,800.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,394.0,394.0,394.0,100908.93672025553,0.0,0.0,0.0
10,800.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,399.0,399.0,399.0,100449.89906646093,0.0,0.0,0.0
11,800.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,401.0,401.0,401.0,96184.69846569494,0.0,0.0,0.0
12,800.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,393.0,393.0,393.0,98919.22744341439,0.0,0.0,0.0
13,800.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,398.0,398.0,398.0,97794.75881093595,0.0,0.0,0.0
14,800.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,409.0,409.0,409.0,103339.27071809687,0.0,0.0,0.0
15,800.0,1.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,406.0,406.0,406.0,99100.49865262138,74502.90302930838,59904.05093325152,92270.5078422004
16,800.0,1.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,395.0,395.0,395.0,98215.64282786156,77355.53591250791,66362.57373357272,91883.31188470265
17,800.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,414.0,414.0,414.0,111464.7939723962,0.0,0.0,0.0
18,800.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,384.0,384.0,384.0,99219.47465636214,0.0,0.0,0.0
19,800.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,393.0,393.0,393.0,97305.44029571532,0.0,0.0,0.0
20,800.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,406.0,406.0,406.0,100586.8370048491,0.0,0.0,0.0
21,800.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,401.0,401.0,401.0,100078.39196487248,0.0,0.0,0.0
22,800.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,401.0,401.0,401.0,99215.62125874657,0.0,0.0,0.0
23,800.0,1.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,406.0,406.0,406.0,100703.34878943517,78965.65850624947,62739.7085410265,95301.93260730276
24,800.0,1.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,392.0,392.0,392.0,94388.96847516493,54862.85903124344,36665.28571157744,75143.89953034883
25,800.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,390.0,390.0,390.0,97328.47920437792,0.0,0.0,0.0
26,800.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,378.0,378.0,378.0,94605.62221989813,0.0,0.0,0.0
27,800.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,382.0,382.0,382.0,95067.6952286734,0.0,0.0,0.0
28,800.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,403.0,403.0,403.0,105417.1513536683,0.0,0.0,0.0
29,800.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,410.0,410.0,410.0,103000.25164695259,0.0,0.0,0.0
30,800.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,396.0,396.0,396.0,99079.08057642015,0.0,0.0,0.0
31,800.0,1.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,392.0,392.0,392.0,93775.97925605846,92940.5014925755,92421.04260032954,93745.35689255246
32,800.0,1.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,403.0,403.0,403.0,101494.08365664887,74014.44364763773,50851.087657832046,88740.71643480346
33,800.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,396.0,396.0,396.0,97109.98314211876,0.0,0.0,0.0
34,800.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,399.0,399.0,399.0,95435.42762561465,0.0,0.0,0.0
35,800.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,405.0,405.0,405.0,96540.31303004347,0.0,0.0,0.0
36,800.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,402.0,402.0,402.0,102399.61053354511,0.0,0.0,0.0
37,800.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,400.0,400.0,400.0,97330.06293501839,0.0,0.0,0.0
38,800.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,409.0,409.0,409.0,101977.8690850258,0.0,0.0,0.0
39,800.0,1.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,394.0,394.0,394.0,96324.19822565149,92364.82946628342,87796.19792047009,96032.0806901568
40,800.0,1.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,394.0,394.0,394.0,99596.69573952659,75535.8995371008,55137.80127521412,88570.16535888698
41,800.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,397.0,397.0,397.0,98261.52061876791,0.0,0.0,0.0
42,800.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,387.0,387.0,387.0,99707.68444793686,0.0,0.0,0.0
43,800.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,392.0,392.0,392.0,93789.66992329038,0.0,0.0,0.0
44,800.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,394.0,394.0,394.0,100451.91394212024,0.0,0.0,0.0
45,800.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,393.0,393.0,393.0,98012.50517602099,0.0,0.0,0.0
46,800.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,395.0,395.0,395.0,101179.2469463335,0.0,0.0,0.0
47,800.0,1.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,404.0,404.0,404.0,101411.43105792595,92982.80747299302,85992.80765996216,100493.53991504887
48,800.0,1.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,395.0,395.0,395.0,97860.25831756848,56918.56404973654,37351.58621196434,76803.41628707778
49,800.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,399.0,399.0,399.0,103324.89097263361,0.0,0.0,0.0
50,800.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,391.0,391.0,391.0,95087.08442879727,0.0,0.0,0.0
51,800.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,398.0,398.0,398.0,99704.37391775538,0.0,0.0,0.0
52,800.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,401.0,401.0,401.0,97787.74061946131,0.0,0.0,0.0
53,800.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,395.0,395.0,395.0,101707.64465062655,0.0,0.0,0.0
54,800.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,396.0,396.0,396.0,97437.58812256731,0.0,0.0,0.0
55,800.0,1.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,390.0,390.0,390.0,100184.82269629327,88893.89809159198,78329.68645305673,98332.55468640699
56,800.0,1.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,399.0,399.0,399.0,104398.00330467481,0.0,0.0,0.0
57,800.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,382.0,382.0,382.0,94320.70857384684,0.0,0.0,0.0
58,800.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,394.0,394.0,394.0,99634.07181688413,0.0,0.0,0.0
59,800.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,401.0,401.0,401.0,102983.85210641124,0.0,0.0,0.0
60,800.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,400.0,400.0,400.0,99425.09506638089,0.0,0.0,0.0
61,800.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,400.0,400.0,400.0,101289.63656157613,0.0,0.0,0.0
62,800.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,397.0,397.0,397.0,100640.51922924185,0.0,0.0,0.0
63,800.0,1.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,386.0,386.0,386.0,92171.05579244823,86910.47629723712,84621.53341836917,91874.37470796164
64,800.0,1.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,393.0,393.0,393.0,97637.50131616194,44781.417683057145,22197.870391688826,64491.01465920742
65,800.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,402.0,402.0,402.0,98745.49784698882,0.0,0.0,0.0
66,800.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,398.0,398.0,398.0,101749.44922357693,0.0,0.0,0.0
67,800.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,404.0,404.0,404.0,103311.93599289196,0.0,0.0,0.0
68,800.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,408.0,408.0,408.0,103264.9658020068,0.0,0.0,0.0
69,800.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,408.0,408.0,408.0,101012.04800932686,0.0,0.0,0.0
70,800.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,389.0,389.0,389.0,97713.44992151702,0.0,0.0,0.0
71,800.0,1.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,395.0,395.0,395.0,100214.37543790467,91500.98440986409,81783.2619527943,98871.54089863827
72,800.0,1.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,393.0,393.0,393.0,96211.56779245372,96107.67160078295,96059.95473396705,96187.2060403962
73,800.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,391.0,391.0,391.0,96032.79754262572,0.0,0.0,0.0
74,800.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,429.0,429.0,429.0,108755.76616844791,0.0,0.0,0.0
75,800.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,403.0,403.0,403.0,100623.06208951847,0.0,0.0,0.0
76,800.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,395.0,395.0,395.0,94407.53971622151,0.0,0.0,0.0
77,800.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,404.0,404.0,404.0,101027.06953600101,0.0,0.0,0.0
78,800.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,409.0,409.0,409.0,100911.52672772534,0.0,0.0,0.0
79,800.0,1.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,392.0,392.0,392.0,98149.37671850101,79545.86079836616,68235.87958823716,94418.17834711968
