,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MIDA-lottery gain,MIDA-Vickrey traders gain,MIDA-Vickrey total gain
0,122.0,1.0,100.0,250.0,2.0,2.0,4.0,2.0,244.0,100.0,22.0,4.545454545454546,144.80331487918363,61.0,61.0,61.0,15218.207827604845,0.0,0.0,0.0
1,122.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,66.0,66.0,66.0,15984.094084122411,0.0,0.0,0.0
2,122.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,54.0,54.0,54.0,13569.564515724724,0.0,0.0,0.0
3,122.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,60.0,60.0,60.0,13855.551069893172,0.0,0.0,0.0
4,122.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,66.0,66.0,66.0,17210.33836311479,0.0,0.0,0.0
5,122.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,62.0,62.0,62.0,15935.914717857624,0.0,0.0,0.0
6,122.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,65.0,65.0,65.0,16566.579978344485,0.0,0.0,0.0
7,122.0,1.0,10.0,250.0,13.0,13.0,26.0,13.0,244.0,10.0,2.0,5.0,49.07137658554119,55.0,55.0,55.0,13035.017065489628,10625.005542399911,9978.091759900677,12454.793140329568
8,122.0,1.0,100.0,250.0,2.0,2.0,4.0,2.0,244.0,100.0,22.0,4.545454545454546,144.80331487918363,71.0,71.0,71.0,15838.486893612833,5008.258064545205,4427.488240364201,7968.5753743133455
9,122.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,57.0,57.0,57.0,13797.900882306963,0.0,0.0,0.0
10,122.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,63.0,63.0,63.0,15623.154186013006,0.0,0.0,0.0
11,122.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,62.0,62.0,62.0,14480.747429527146,0.0,0.0,0.0
12,122.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,60.0,60.0,60.0,15120.165881971134,0.0,0.0,0.0
13,122.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,59.0,59.0,59.0,14074.767911447267,0.0,0.0,0.0
14,122.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,71.0,71.0,71.0,17760.670389943713,0.0,0.0,0.0
15,122.0,1.0,10.0,250.0,13.0,13.0,26.0,13.0,244.0,10.0,2.0,5.0,49.07137658554119,55.0,55.0,55.0,15386.104196322776,7545.269588212035,4230.849230122551,10643.714484969205
16,122.0,1.0,100.0,250.0,2.0,2.0,4.0,2.0,244.0,100.0,22.0,4.545454545454546,144.80331487918363,58.0,58.0,58.0,14677.162325411304,0.0,0.0,0.0
17,122.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,63.0,63.0,63.0,16266.36604219956,0.0,0.0,0.0
18,122.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,57.0,57.0,57.0,12996.329923693662,0.0,0.0,0.0
19,122.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,61.0,61.0,61.0,14793.638858278606,0.0,0.0,0.0
20,122.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,51.0,51.0,51.0,11144.049808715972,0.0,0.0,0.0
21,122.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,244.0,122.0,122.0,1.0,172.5340546095176,57.0,57.0,57.0,14913.230517966495,0.0,0.0,0.0
