,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MIDA-lottery gain,MIDA-Vickrey traders gain,MIDA-Vickrey total gain
0,80.0,1.0,100.0,250.0,1.0,1.0,2.0,1.0,160.0,80.0,80.0,1.0,113.13708498984761,33.0,33.0,33.0,9037.011352316027,0.0,0.0,0.0
1,80.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,160.0,80.0,80.0,1.0,113.13708498984761,39.0,39.0,39.0,9215.641884724097,0.0,0.0,0.0
2,80.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,160.0,80.0,80.0,1.0,113.13708498984761,43.0,43.0,43.0,11756.14925653907,0.0,0.0,0.0
3,80.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,160.0,80.0,80.0,1.0,113.13708498984761,45.0,45.0,45.0,10469.186040200959,0.0,0.0,0.0
4,80.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,160.0,80.0,80.0,1.0,113.13708498984761,44.0,44.0,44.0,9887.714961006015,0.0,0.0,0.0
5,80.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,160.0,80.0,80.0,1.0,113.13708498984761,39.0,39.0,39.0,9448.378762022307,0.0,0.0,0.0
6,80.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,160.0,80.0,80.0,1.0,113.13708498984761,41.0,41.0,41.0,9389.413416891737,0.0,0.0,0.0
7,80.0,1.0,10.0,250.0,8.0,8.0,16.0,8.0,160.0,10.0,10.0,1.0,40.0,37.0,37.0,37.0,8540.812951392028,3989.8278967015203,1983.0919226648975,4942.709910383433
8,80.0,1.0,100.0,250.0,1.0,1.0,2.0,1.0,160.0,80.0,80.0,1.0,113.13708498984761,37.0,37.0,37.0,8824.850603634377,0.0,0.0,0.0
9,80.0,1.0,1000.0,250.0,1.0,1.0,2.0,1.0,160.0,80.0,80.0,1.0,113.13708498984761,40.0,40.0,40.0,10307.295639424223,0.0,0.0,0.0
10,80.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,160.0,80.0,80.0,1.0,113.13708498984761,35.0,35.0,35.0,9429.10340718262,0.0,0.0,0.0
11,80.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,160.0,80.0,80.0,1.0,113.13708498984761,41.0,41.0,41.0,9658.356337953446,0.0,0.0,0.0
12,80.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,160.0,80.0,80.0,1.0,113.13708498984761,43.0,43.0,43.0,11784.180722687634,0.0,0.0,0.0
13,80.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,160.0,80.0,80.0,1.0,113.13708498984761,45.0,45.0,45.0,12699.08643677989,0.0,0.0,0.0
14,80.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,160.0,80.0,80.0,1.0,113.13708498984761,42.0,42.0,42.0,11288.789287915724,0.0,0.0,0.0
15,80.0,1.0,10.0,250.0,8.0,8.0,16.0,8.0,160.0,10.0,10.0,1.0,40.0,31.0,31.0,31.0,7054.845691777429,2865.707926620756,1394.3617853407764,4200.7775098897855
