log10(M),Unnamed: 0,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MIDA-lottery gain,MIDA-Vickrey traders gain,MIDA-Vickrey total gain,Optimal market size,Normalized market size,log10(M),MIDA-lottery ratio,MIDA-Vickrey traders ratio,MIDA-Vickrey total ratio
2.0,346.5,40000000.0,100.0,100.0,250.0,400000.0,400000.0,800000.0,400000.0,80000000.0,100.0,100.0,1.0,89442.7190999917,199992.28,199992.28,19999228.0,4999778446.878468,4985015910.866654,4970384930.624592,4999700050.487716,199992.28,199992.28,2.0,0.9970475201390875,0.9941213711335242,0.9999843220213874
2.9999999999999996,347.5,40000000.0,100.0,1000.0,250.0,40000.0,40000.0,80000.0,40000.0,80000000.0,1000.0,1000.0,1.0,282842.7124746184,199997.93,199997.93,19999793.0,4999713986.811641,4967993014.910939,4936662224.609106,4999350847.949311,199997.93,19999.79299999999,2.9999999999999996,0.9936559188102756,0.9873899201397865,0.9999273774335545
4.0,348.5,40000000.0,100.0,10000.0,250.0,4000.0,4000.0,8000.0,4000.0,80000000.0,10000.0,10000.0,1.0,894427.1909999155,199970.19,199970.19,19997019.0,4999162307.254451,4909302055.293041,4823026488.44265,4996237136.184691,199970.19,1999.7019000000003,4.0,0.9820275420594924,0.9647720651893283,0.999414977789219
5.0,352.5,40000000.0,100.0,100000.0,250.0,400.0,400.0,800.0,400.0,80000000.0,100000.0,100000.0,1.0,2828427.1247461964,200003.43,200003.43,20000343.0,5000675987.583765,4702517291.721888,4443110954.555355,4967955251.599146,200003.43,200.00343,5.0,0.9403726516293573,0.8884959427960025,0.9934556754888751
5.999999999999999,349.5,40000000.0,100.0,1000000.0,250.0,40.0,40.0,80.0,40.0,80000000.0,1000000.0,1000000.0,1.0,8944271.909999141,199992.88,199992.88,19999288.0,5000169106.167772,4055433986.2880707,3430539452.523263,4701886525.846895,199992.88,19.999288,5.999999999999999,0.8110409207700607,0.6860575673218419,0.9403362196386972
7.0,350.5,40000000.0,100.0,10000000.0,250.0,4.0,4.0,8.0,4.0,80000000.0,10000000.0,10000000.0,1.0,28284271.24746184,199992.69,199992.69,19999269.0,4999714559.240575,2484344693.183562,2026162961.4367406,2838023449.4600677,199992.69,1.9999269000000013,7.0,0.49690812626207614,0.40528569988464175,0.5676351723826759
7.602059991327962,351.5,40000000.0,100.0,100000000.0,250.0,1.0,1.0,2.0,1.0,80000000.0,40000000.0,40000000.0,1.0,56568542.49492368,199975.95,199975.95,19997595.0,4999456798.954913,0.0,0.0,0.0,199975.95,0.49993987499999987,7.602059991327943,0.0,0.0,0.0
