,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MIDA-lottery gain,MIDA-Vickrey traders gain,MIDA-Vickrey total gain
0,200.0,1.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,98.0,98.0,98.0,24428.02291887971,22175.392489890044,22158.0295760484,24264.016426246846
1,400.0,1.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,203.0,203.0,203.0,51262.35945055242,43845.86001999605,37339.46090667571,49698.142211850616
2,600.0,1.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,302.0,302.0,302.0,76933.3053267412,64777.98304232094,53211.17505296183,74383.71657230877
3,800.0,1.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,396.0,396.0,396.0,103792.1675780522,101635.43787755368,100172.48511321803,103708.55224751259
4,1000.0,1.0,10.0,250.0,100.0,100.0,200.0,100.0,2000.0,10.0,10.0,1.0,141.4213562373095,504.0,504.0,504.0,126090.24110219022,89416.02118487224,65363.26457420769,113695.78723393529
5,1200.0,1.0,10.0,250.0,120.0,120.0,240.0,120.0,2400.0,10.0,10.0,1.0,154.91933384829667,625.0,625.0,625.0,152774.33835781497,151789.51351042412,151145.1357637365,152757.534155405
6,1400.0,1.0,10.0,250.0,140.0,140.0,280.0,140.0,2800.0,10.0,10.0,1.0,167.33200530681512,684.0,684.0,684.0,170061.28775665862,147626.19291882054,130572.8075407682,166721.02997327677
7,1600.0,1.0,10.0,250.0,160.0,160.0,320.0,160.0,3200.0,10.0,10.0,1.0,178.88543819998318,810.0,810.0,810.0,196241.79689239705,179174.84624544496,165153.74981308583,194402.1340981489
8,1800.0,1.0,10.0,250.0,180.0,180.0,360.0,180.0,3600.0,10.0,10.0,1.0,189.73665961010275,859.0,859.0,859.0,212627.54891591606,200892.05459489237,191175.0078673936,211796.39872780305
9,2000.0,1.0,10.0,250.0,200.0,200.0,400.0,200.0,4000.0,10.0,10.0,1.0,200.0,993.0,993.0,993.0,248928.3090003996,247995.44711404684,247219.66388765964,248916.02181302314
10,2200.0,1.0,10.0,250.0,220.0,220.0,440.0,220.0,4400.0,10.0,10.0,1.0,209.76176963403032,1120.0,1120.0,1120.0,284390.53567991056,270040.0704292649,254992.63333389134,283409.1293832164
11,2400.0,1.0,10.0,250.0,240.0,240.0,480.0,240.0,4800.0,10.0,10.0,1.0,219.08902300206645,1228.0,1228.0,1228.0,307023.5153790225,288009.4992778451,269622.54002273764,305345.11837132665
12,2600.0,1.0,10.0,250.0,260.0,260.0,520.0,260.0,5200.0,10.0,10.0,1.0,228.0350850198276,1324.0,1324.0,1324.0,332704.4985692115,293542.84728145966,258052.61482922971,326761.4913303317
13,2800.0,1.0,10.0,250.0,280.0,280.0,560.0,280.0,5600.0,10.0,10.0,1.0,236.64319132398464,1405.0,1405.0,1405.0,357075.83350259357,326083.643442706,298271.888303741,353841.20220693585
14,3000.0,1.0,10.0,250.0,300.0,300.0,600.0,300.0,6000.0,10.0,10.0,1.0,244.94897427831782,1490.0,1490.0,1490.0,367396.3323702229,329731.04713396064,297167.0681060535,362193.4911277136
15,3200.0,1.0,10.0,250.0,320.0,320.0,640.0,320.0,6400.0,10.0,10.0,1.0,252.98221281347034,1596.0,1596.0,1596.0,394853.80738786596,393445.7891169794,393076.03826393106,394847.1143804633
16,3400.0,1.0,10.0,250.0,340.0,340.0,680.0,340.0,6800.0,10.0,10.0,1.0,260.76809620810593,1697.0,1697.0,1697.0,422729.56592424295,408370.5430114833,395608.158442594,422101.0002196055
17,3600.0,1.0,10.0,250.0,360.0,360.0,720.0,360.0,7200.0,10.0,10.0,1.0,268.32815729997475,1799.0,1799.0,1799.0,448359.3776026642,431792.8190230602,416441.3177472539,447611.295341123
18,3800.0,1.0,10.0,250.0,380.0,380.0,760.0,380.0,7600.0,10.0,10.0,1.0,275.68097504180446,1940.0,1940.0,1940.0,488597.03102542635,461344.1095143418,436162.39983022504,486546.7501632748
19,4000.0,1.0,10.0,250.0,400.0,400.0,800.0,400.0,8000.0,10.0,10.0,1.0,282.842712474619,1976.0,1976.0,1976.0,486782.76831897756,436453.55563507485,398475.6826558638,481151.6977351542
