,Symbol,Date,Side,Price,Quantity,Order date
121500,IBM,910121,BUY,110.25,500,910117
121501,IBM,910121,BUY,102.0,200,910114
121502,IBM,910121,SEL,119.5,100,901119
121503,IBM,910121,SEL,120.0,2000,900905
121504,IBM,910121,SEL,120.0,100,910118
121505,IBM,910121,SEL,120.0,113,910117
121506,IBM,910121,SEL,120.0,100,900926
121507,IBM,910121,SEL,120.0,100,900814
121508,IBM,910121,BUY,96.0,1500,901105
121509,IBM,910121,SEL,120.0,100,910117
121510,IBM,910121,SEL,120.0,100,910107
121511,IBM,910121,SEL,120.0,300,901115
121512,IBM,910121,SEL,120.0,100,910118
121513,IBM,910121,SEL,130.0,1800,910115
121514,IBM,910121,SEL,120.0,250,910118
121515,IBM,910121,SEL,120.0,300,910118
121516,IBM,910121,SEL,130.0,200,900614
121517,IBM,910121,SEL,120.0,100,901224
121518,IBM,910121,SEL,119.875,100,901227
121519,IBM,910121,SEL,120.0,100,910118
121520,IBM,910121,SEL,120.0,100,900723
121521,IBM,910121,SEL,120.0,100,901120
121522,IBM,910121,SEL,120.0,300,910108
121523,IBM,910121,SEL,120.0,100,901207
121524,IBM,910121,SEL,120.0,2490,901029
121525,IBM,910121,SEL,120.0,300,901126
121526,IBM,910121,SEL,120.0,100,910117
121527,IBM,910121,SEL,120.0,500,910102
121528,IBM,910121,SEL,119.5,1000,901113
121529,IBM,910121,SEL,119.5,1000,901113
121530,IBM,910121,BUY,100.0,500,910115
121531,IBM,910121,SEL,120.0,122,901119
121532,IBM,910121,SEL,120.0,100,901120
121533,IBM,910121,SEL,120.0,200,901003
121534,IBM,910121,SEL,120.0,1100,910118
121535,IBM,910121,SEL,120.0,100,900730
121536,IBM,910121,SEL,120.0,100,901220
121537,IBM,910121,SEL,122.875,300,910118
121538,IBM,910121,SEL,120.0,3000,900724
121539,IBM,910121,SEL,120.0,3000,900724
121540,IBM,910121,SEL,118.5,200,901212
121541,IBM,910121,SEL,119.75,200,910118
121542,IBM,910121,BUY,95.0,500,910117
121543,IBM,910121,SEL,120.0,100,910118
121544,IBM,910121,BUY,95.0,100,910117
121545,IBM,910121,SEL,119.0,103,901206
121546,IBM,910121,SEL,119.5,900,910117
121547,IBM,910121,SEL,120.0,100,910117
121548,IBM,910121,SEL,120.0,100,901113
121549,IBM,910121,SEL,120.0,100,901206
121550,IBM,910121,SEL,120.0,200,910118
121551,IBM,910121,BUY,101.0,100,910116
121552,IBM,910121,SEL,120.0,100,910117
121553,IBM,910121,SEL,120.0,5000,910117
121554,IBM,910121,BUY,110.375,500,910117
121555,IBM,910121,SEL,120.0,145,901002
121556,IBM,910121,SEL,120.0,150,901220
121557,IBM,910121,SEL,120.0,100,900806
121558,IBM,910121,SEL,120.0,300,910118
121559,IBM,910121,SEL,120.0,100,910118
121560,IBM,910121,BUY,104.0,100,901219
121561,IBM,910121,SEL,145.0,100,900726
121562,IBM,910121,SEL,119.0,100,901025
121563,IBM,910121,SEL,119.0,100,910117
121564,IBM,910121,BUY,88.75,100,900810
121565,IBM,910121,SEL,120.0,200,910115
121566,IBM,910121,SEL,120.0,101,910118
121567,IBM,910121,SEL,120.0,200,910117
121568,IBM,910121,SEL,119.875,1000,910115
121569,IBM,910121,SEL,120.0,200,910118
121570,IBM,910121,SEL,120.0,100,910117
121571,IBM,910121,SEL,120.0,2000,910117
121572,IBM,910121,SEL,120.0,100,910118
121573,IBM,910121,SEL,119.0,100,910118
121574,IBM,910121,SEL,120.0,400,910118
121575,IBM,910121,SEL,120.0,200,910118
