,Symbol,Date,Walrasian Price
0,IBM,901214.0,100.0
1,IBM,910116.0,100.0
2,IBM,901119.0,100.0
3,IBM,901130.0,100.0
4,IBM,910123.0,100.0
5,IBM,910129.0,100.0
6,IBM,901127.0,100.0
7,IBM,901101.0,100.0
8,IBM,901107.0,100.0
9,IBM,901114.0,100.0
10,IBM,910107.0,100.0
11,IBM,901206.0,100.0
12,IBM,901217.0,100.0
13,IBM,901213.0,100.0
14,IBM,901224.0,100.0
15,IBM,910115.0,100.0
16,IBM,901129.0,100.0
17,IBM,910111.0,100.0
18,IBM,910122.0,100.0
19,IBM,901221.0,100.0
20,IBM,910128.0,100.0
21,IBM,901126.0,100.0
22,IBM,901228.0,100.0
23,IBM,901106.0,100.0
24,IBM,901113.0,100.0
25,IBM,901205.0,100.0
26,IBM,901121.0,100.0
27,IBM,901212.0,100.0
28,IBM,910103.0,100.0
29,IBM,910114.0,100.0
30,IBM,901128.0,100.0
31,IBM,910110.0,100.0
32,IBM,910121.0,100.0
33,IBM,901220.0,100.0
34,IBM,901227.0,100.0
35,IBM,910118.0,100.0
36,IBM,901105.0,100.0
37,IBM,910125.0,100.0
38,IBM,901112.0,100.0
39,IBM,910131.0,100.0
40,IBM,901204.0,100.0
41,IBM,901231.0,100.0
42,IBM,901109.0,100.0
43,IBM,901120.0,100.0
44,IBM,901211.0,100.0
45,IBM,910102.0,100.0
46,IBM,901116.0,100.0
47,IBM,910109.0,100.0
48,IBM,901219.0,100.0
49,IBM,901226.0,100.0
50,IBM,910117.0,100.0
51,IBM,910124.0,100.0
52,IBM,910130.0,100.0
53,IBM,910104.0,100.0
54,IBM,901203.0,100.0
55,IBM,901102.0,100.0
56,IBM,901108.0,100.0
57,IBM,901210.0,100.0
58,IBM,901115.0,100.0
59,IBM,910108.0,100.0
60,IBM,901207.0,100.0
61,IBM,901218.0,100.0
62,IBM,901123.0,100.0
