,Symbol,Date,Side,Price,Quantity,Order date
0,IBM,910121,BUY,93.63057324840764,500,910117
1,IBM,910121,BUY,86.62420382165605,200,910114
2,IBM,910121,SEL,101.48619957537154,100,901119
3,IBM,910121,SEL,101.91082802547771,2000,900905
4,IBM,910121,SEL,101.91082802547771,100,910118
5,IBM,910121,SEL,101.91082802547771,113,910117
6,IBM,910121,SEL,101.91082802547771,100,900926
7,IBM,910121,SEL,101.91082802547771,100,900814
8,IBM,910121,BUY,81.52866242038216,1500,901105
9,IBM,910121,SEL,101.91082802547771,100,910117
10,IBM,910121,SEL,101.91082802547771,100,910107
11,IBM,910121,SEL,101.91082802547771,300,901115
12,IBM,910121,SEL,101.91082802547771,100,910118
13,IBM,910121,SEL,110.40339702760085,1800,910115
14,IBM,910121,SEL,101.91082802547771,250,910118
15,IBM,910121,SEL,101.91082802547771,300,910118
16,IBM,910121,SEL,110.40339702760085,200,900614
17,IBM,910121,SEL,101.91082802547771,100,901224
18,IBM,910121,SEL,101.80467091295117,100,901227
19,IBM,910121,SEL,101.91082802547771,100,910118
20,IBM,910121,SEL,101.91082802547771,100,900723
21,IBM,910121,SEL,101.91082802547771,100,901120
22,IBM,910121,SEL,101.91082802547771,300,910108
23,IBM,910121,SEL,101.91082802547771,100,901207
24,IBM,910121,SEL,101.91082802547771,2490,901029
25,IBM,910121,SEL,101.91082802547771,300,901126
26,IBM,910121,SEL,101.91082802547771,100,910117
27,IBM,910121,SEL,101.91082802547771,500,910102
28,IBM,910121,SEL,101.48619957537154,1000,901113
29,IBM,910121,SEL,101.48619957537154,1000,901113
30,IBM,910121,BUY,84.92569002123142,500,910115
31,IBM,910121,SEL,101.91082802547771,122,901119
32,IBM,910121,SEL,101.91082802547771,100,901120
33,IBM,910121,SEL,101.91082802547771,200,901003
34,IBM,910121,SEL,101.91082802547771,1100,910118
35,IBM,910121,SEL,101.91082802547771,100,900730
36,IBM,910121,SEL,101.91082802547771,100,901220
37,IBM,910121,SEL,104.35244161358811,300,910118
38,IBM,910121,SEL,101.91082802547771,3000,900724
39,IBM,910121,SEL,101.91082802547771,3000,900724
40,IBM,910121,SEL,100.63694267515923,200,901212
41,IBM,910121,SEL,101.69851380042464,200,910118
42,IBM,910121,BUY,80.67940552016985,500,910117
43,IBM,910121,SEL,101.91082802547771,100,910118
44,IBM,910121,BUY,80.67940552016985,100,910117
45,IBM,910121,SEL,101.06157112526539,103,901206
46,IBM,910121,SEL,101.48619957537154,900,910117
47,IBM,910121,SEL,101.91082802547771,100,910117
48,IBM,910121,SEL,101.91082802547771,100,901113
49,IBM,910121,SEL,101.91082802547771,100,901206
50,IBM,910121,SEL,101.91082802547771,200,910118
51,IBM,910121,BUY,85.77494692144374,100,910116
52,IBM,910121,SEL,101.91082802547771,100,910117
53,IBM,910121,SEL,101.91082802547771,5000,910117
54,IBM,910121,BUY,93.73673036093419,500,910117
55,IBM,910121,SEL,101.91082802547771,145,901002
56,IBM,910121,SEL,101.91082802547771,150,901220
57,IBM,910121,SEL,101.91082802547771,100,900806
58,IBM,910121,SEL,101.91082802547771,300,910118
59,IBM,910121,SEL,101.91082802547771,100,910118
60,IBM,910121,BUY,88.32271762208067,100,901219
61,IBM,910121,SEL,123.14225053078556,100,900726
62,IBM,910121,SEL,101.06157112526539,100,901025
63,IBM,910121,SEL,101.06157112526539,100,910117
64,IBM,910121,BUY,75.37154989384288,100,900810
65,IBM,910121,SEL,101.91082802547771,200,910115
66,IBM,910121,SEL,101.91082802547771,101,910118
67,IBM,910121,SEL,101.91082802547771,200,910117
68,IBM,910121,SEL,101.80467091295117,1000,910115
69,IBM,910121,SEL,101.91082802547771,200,910118
70,IBM,910121,SEL,101.91082802547771,100,910117
71,IBM,910121,SEL,101.91082802547771,2000,910117
72,IBM,910121,SEL,101.91082802547771,100,910118
73,IBM,910121,SEL,101.06157112526539,100,910118
74,IBM,910121,SEL,101.91082802547771,400,910118
75,IBM,910121,SEL,101.91082802547771,200,910118
76,IBM,910121,SEL,101.91082802547771,300,900906
77,IBM,910121,SEL,101.91082802547771,200,900810
78,IBM,910121,SEL,102.76008492569002,100,901029
79,IBM,910121,SEL,101.38004246284501,200,900917
80,IBM,910121,BUY,85.77494692144374,200,901212
81,IBM,910121,SEL,101.91082802547771,100,910118
82,IBM,910121,SEL,101.91082802547771,400,900806
83,IBM,910121,SEL,100.95541401273886,1600,901120
84,IBM,910121,SEL,100.95541401273886,1600,901120
85,IBM,910121,SEL,100.95541401273886,150,910117
86,IBM,910121,BUY,84.07643312101911,200,910114
87,IBM,910121,SEL,101.91082802547771,900,910118
88,IBM,910121,BUY,93.41825902335457,500,910118
89,IBM,910121,BUY,84.92569002123142,200,910114
90,IBM,910121,SEL,101.91082802547771,200,910118
91,IBM,910121,SEL,100.63694267515923,100,901127
92,IBM,910121,SEL,101.91082802547771,200,910118
93,IBM,910121,SEL,101.91082802547771,100,901121
94,IBM,910121,SEL,101.91082802547771,100,910117
95,IBM,910121,SEL,101.91082802547771,100,900725
96,IBM,910121,SEL,101.06157112526539,200,910118
97,IBM,910121,SEL,101.91082802547771,100,910118
98,IBM,910121,SEL,101.91082802547771,400,900806
99,IBM,910121,SEL,101.91082802547771,400,900806
100,IBM,910121,SEL,101.91082802547771,300,910117
101,IBM,910121,SEL,101.91082802547771,1176,910118
102,IBM,910121,SEL,101.06157112526539,100,910118
103,IBM,910121,SEL,101.91082802547771,350,901128
104,IBM,910121,SEL,101.69851380042464,168,910118
105,IBM,910121,SEL,101.91082802547771,100,910117
106,IBM,910121,SEL,101.91082802547771,100,910118
