,Symbol,Date,Side,Price,Quantity,Order date
111380,IBM,901101,BUY,96.0,1000,901016
111381,IBM,901101,SEL,168.0,100,900802
111382,IBM,901101,SEL,106.5,100,901031
111383,IBM,901101,SEL,112.5,100,901022
111384,IBM,901101,BUY,95.0,100,901012
111385,IBM,901101,SEL,113.5,100,901022
111386,IBM,901101,SEL,121.0,100,900720
111387,IBM,901101,BUY,100.0,100,901018
111388,IBM,901101,SEL,110.0,100,901022
111389,IBM,901101,BUY,101.0,1960,901023
111390,IBM,901101,BUY,97.0,400,901030
111391,IBM,901101,BUY,96.0,100,901012
111392,IBM,901101,SEL,112.5,100,901001
111393,IBM,901101,SEL,109.0,1000,901029
111394,IBM,901101,SEL,107.75,500,901031
111395,IBM,901101,BUY,95.0,100,901001
111396,IBM,901101,BUY,90.0,100,901016
111397,IBM,901101,BUY,96.0,1000,901016
111398,IBM,901101,SEL,111.5,100,901022
111399,IBM,901101,SEL,110.0,1940,901026
111400,IBM,901101,SEL,110.0,300,901019
111401,IBM,901101,BUY,92.0,100,901005
111402,IBM,901101,SEL,130.0,260,900913
111403,IBM,901101,SEL,106.0,450,901031
111404,IBM,901101,BUY,93.0,100,901026
111405,IBM,901101,SEL,108.0,100,901029
111406,IBM,901101,BUY,96.0,100,901009
111407,IBM,901101,SEL,109.5,100,901022
111408,IBM,901101,SEL,107.0,5000,901030
111409,IBM,901101,SEL,107.0,5000,901030
111410,IBM,901101,SEL,107.0,5000,901030
111411,IBM,901101,SEL,106.0,10300,901031
111412,IBM,901101,SEL,106.0,10300,901031
111413,IBM,901101,SEL,106.0,200,901031
111414,IBM,901101,SEL,109.0,1000,901031
111415,IBM,901101,SEL,110.5,100,901022
111416,IBM,901101,BUY,95.0,1000,900830
111417,IBM,901101,SEL,122.0,100,900808
111418,IBM,901101,BUY,97.0,850,901016
111419,IBM,901101,SEL,111.5,100,901001
111420,IBM,901101,SEL,107.0,100,901030
111421,IBM,901101,SEL,110.0,200,901024
111422,IBM,901101,BUY,98.0,100,901016
111423,IBM,901101,BUY,95.0,100,901005
111424,IBM,901101,BUY,96.0,100,901015
111425,IBM,901101,BUY,104.125,400,901101
111426,IBM,901101,SEL,105.5,7000,901101
111427,IBM,901101,SEL,105.5,7000,901101
111428,IBM,901101,SEL,105.5,7000,901101
111429,IBM,901101,SEL,105.5,7000,901101
111430,IBM,901101,BUY,105.25,3000,901101
111431,IBM,901101,BUY,105.25,3000,901101
111432,IBM,901101,BUY,105.25,3000,901101
111433,IBM,901101,BUY,105.5,2000,901101
111434,IBM,901101,SEL,105.75,200,901101
111435,IBM,901101,BUY,105.5,2700,901101
111436,IBM,901101,BUY,105.5,2700,901101
111437,IBM,901101,BUY,105.5,2700,901101
111438,IBM,901101,SEL,105.25,4000,901101
111439,IBM,901101,SEL,105.25,4000,901101
111440,IBM,901101,SEL,105.25,4000,901101
111441,IBM,901101,SEL,105.25,5000,901101
111442,IBM,901101,BUY,105.0,2200,901101
111443,IBM,901101,BUY,105.25,4000,901101
111444,IBM,901101,SEL,105.25,1446,901101
111445,IBM,901101,SEL,105.25,1446,901101
111446,IBM,901101,BUY,105.25,500,901101
111447,IBM,901101,SEL,106.0,500,901101
111448,IBM,901101,SEL,105.25,500,901101
111449,IBM,901101,BUY,105.125,3200,901101
111450,IBM,901101,BUY,105.125,3200,901101
111451,IBM,901101,SEL,105.625,5000,901101
111452,IBM,901101,SEL,105.5,2200,901101
111453,IBM,901101,SEL,105.5,2200,901101
111454,IBM,901101,SEL,105.5,2200,901101
111455,IBM,901101,SEL,105.875,5000,901101
111456,IBM,901101,BUY,106.0,2000,901101
111457,IBM,901101,SEL,106.375,5000,901101
111458,IBM,901101,SEL,106.375,5000,901101
111459,IBM,901101,SEL,106.375,5000,901101
111460,IBM,901101,SEL,106.875,3000,901101
111461,IBM,901101,SEL,106.875,3000,901101
111462,IBM,901101,SEL,106.5,2000,901101
111463,IBM,901101,SEL,106.625,100,901101
111464,IBM,901101,SEL,106.5,10000,901101
111465,IBM,901101,SEL,106.5,10000,901101
111466,IBM,901101,SEL,106.5,10000,901101
111467,IBM,901101,SEL,106.5,10000,901101
111468,IBM,901101,SEL,106.5,10000,901101
111469,IBM,901101,BUY,106.25,1500,901101
111470,IBM,901101,BUY,106.25,1500,901101
111471,IBM,901101,BUY,106.375,5000,901101
111472,IBM,901101,BUY,105.375,5000,901101
111473,IBM,901101,SEL,106.625,1000,901101
111474,IBM,901101,SEL,106.625,2000,901101
111475,IBM,901101,SEL,106.5,2000,901101
111476,IBM,901101,SEL,106.5,2000,901101
111477,IBM,901101,SEL,106.5,2000,901101
111478,IBM,901101,SEL,106.5,2000,901101
111479,IBM,901101,SEL,106.5,600,901101
111480,IBM,901101,SEL,106.5,1000,901101
111481,IBM,901101,BUY,106.5,1000,901101
111482,IBM,901101,SEL,106.625,1000,901101
111483,IBM,901101,BUY,106.625,3200,901101
111484,IBM,901101,BUY,106.625,3200,901101
111485,IBM,901101,BUY,106.625,3200,901101
111486,IBM,901101,BUY,106.375,2000,901101
111487,IBM,901101,SEL,106.75,2300,901101
111488,IBM,901101,BUY,106.75,2000,901101
111489,IBM,901101,SEL,106.875,1000,901101
111490,IBM,901101,SEL,106.75,1000,901101
111491,IBM,901101,SEL,106.75,500,901101
111492,IBM,901101,BUY,106.625,2000,901101
111493,IBM,901101,SEL,106.625,5000,901101
111494,IBM,901101,SEL,106.625,5000,901101
111495,IBM,901101,SEL,106.625,1000,901101
111496,IBM,901101,SEL,106.625,1000,901101
111497,IBM,901101,BUY,106.625,4000,901101
111498,IBM,901101,SEL,106.875,700,901101
111499,IBM,901101,BUY,106.625,5000,901101
111500,IBM,901101,BUY,106.625,5000,901101
111501,IBM,901101,BUY,106.625,5000,901101
111502,IBM,901101,BUY,106.75,5000,901101
111503,IBM,901101,BUY,106.75,5000,901101
111504,IBM,901101,BUY,106.75,5000,901101
111505,IBM,901101,BUY,106.75,5000,901101
111506,IBM,901101,BUY,106.75,5000,901101
111507,IBM,901101,BUY,106.75,5000,901101
111508,IBM,901101,BUY,106.75,3200,901101
111509,IBM,901101,BUY,106.75,3200,901101
111510,IBM,901101,SEL,106.75,3060,901101
111511,IBM,901101,SEL,106.75,3060,901101
111512,IBM,901101,SEL,106.75,3060,901101
111513,IBM,901101,SEL,106.75,1660,901101
111514,IBM,901101,SEL,106.875,550,901101
111515,IBM,901101,SEL,106.75,500,901101
111516,IBM,901101,BUY,106.75,3000,901101
111517,IBM,901101,BUY,106.75,3000,901101
111518,IBM,901101,SEL,106.75,1000,901101
111519,IBM,901101,SEL,106.875,2000,901101
111520,IBM,901101,SEL,107.0,5000,901101
111521,IBM,901101,BUY,106.875,500,901101
111522,IBM,901101,SEL,107.0,2500,901101
111523,IBM,901101,SEL,107.0,2500,901101
111524,IBM,901101,BUY,106.75,2000,901101
111525,IBM,901101,BUY,106.625,2700,901101
111526,IBM,901101,BUY,106.625,2700,901101
111527,IBM,901101,SEL,106.75,2000,901101
111528,IBM,901101,SEL,106.75,2000,901101
111529,IBM,901101,SEL,106.75,2000,901101
111530,IBM,901101,SEL,106.625,500,901101
111531,IBM,901101,BUY,106.75,500,901101
111532,IBM,901101,BUY,106.75,500,901101
111533,IBM,901101,SEL,106.875,2500,901101
111534,IBM,901101,SEL,106.875,2500,901101
111535,IBM,901102,SEL,110.5,2000,901025
111536,IBM,901102,SEL,113.0,100,901002
111537,IBM,901102,BUY,99.0,100,901031
111538,IBM,901102,BUY,104.0,200,901022
111539,IBM,901102,BUY,87.0,200,900803
111540,IBM,901102,SEL,109.0,367,901026
111541,IBM,901102,SEL,108.0,100,901026
111542,IBM,901102,BUY,98.0,100,901016
