,Symbol,Date,Walrasian Price
171,PMI,901112.0,13.75
172,ZNT,901220.0,12.75
173,WIN,901224.0,inf
174,KWD,901112.0,7.0
175,DBD,901210.0,inf
176,MBK,901107.0,inf
177,UMG,910128.0,2.0
178,NT ,910102.0,28.375
179,ARX,910107.0,1.5
180,HE ,901228.0,31.5
181,TCI,910110.0,4.25
182,IS ,910124.0,2.25
183,NNP,901220.0,inf
184,POM,901217.0,19.875
185,HAT,910128.0,14.875
186,IEI,901205.0,24.25
187,VCC,910107.0,1.5
188,KR ,910107.0,13.875
189,USH,910116.0,inf
190,AMN,901116.0,35.5
191,FBO,910104.0,17.875
192,UAM,901217.0,inf
193,IS ,901109.0,2.125
194,NSI,910129.0,24.25
195,DSI,901126.0,10.625
196,SJI,901220.0,21.25
197,TEK,910115.0,17.5
198,BRT,901204.0,2.875
199,SAH,901130.0,5.0
200,AC ,901207.0,14.75
201,PCO,910102.0,19.0
202,MDP,901227.0,inf
203,NI ,901220.0,18.875
204,UMG,901231.0,2.5
205,DI ,910128.0,23.625
206,GRH,901116.0,inf
207,CPY,901205.0,26.75
208,WDG,901107.0,0.9375
209,CYM,901218.0,16.5
210,BG ,910125.0,24.25
211,AC ,910109.0,16.0
212,TXI,901112.0,12.0
213,LPX,910123.0,inf
214,COA,901224.0,inf
215,BA ,901231.0,45.5
216,GFB,901101.0,0.75
217,CL ,901227.0,75.0
218,UWR,901217.0,11.375
219,ZIF,901116.0,inf
220,DCN,901119.0,24.375
221,PMI,901128.0,inf
222,ALX,901220.0,23.5
223,CYM,910107.0,18.75
224,IPT,910103.0,17.125
225,SNT,910131.0,41.125
226,XON,901206.0,49.625
227,NSI,901212.0,26.0
228,TUG,901220.0,6.5
229,WBN,910122.0,10.625
230,ITG,910123.0,inf
231,ALX,901129.0,23.375
232,LPX,901116.0,25.375
233,PCO,901114.0,19.0
234,BRT,910117.0,2.875
235,PH ,901102.0,inf
236,BG ,901114.0,21.0
237,LUK,901221.0,22.0
238,CP ,901221.0,inf
239,FDX,901231.0,34.0
240,TCI,910103.0,inf
241,ZNT,901206.0,12.0
242,TEK,901211.0,18.0
243,WHX,901105.0,2.875
244,SPF,901227.0,5.625
245,CAL,901212.0,3.125
246,NNP,901127.0,14.25
247,FDX,910121.0,36.875
248,MON,901213.0,0.5
249,AR ,901218.0,26.875
250,ATE,901231.0,33.625
251,DP ,910121.0,inf
252,WBN,901210.0,9.875
253,PIR,901228.0,4.625
